province	srok
preahvihear	ស្រុកជ័យសែន
preahvihear	ស្រុកឆែប
preahvihear	ស្រុកជាំក្សាន្ដ
preahvihear	ស្រុកគូលែន
preahvihear	ស្រុករវៀង
preahvihear	ស្រុកសង្គមថ្មី
preahvihear	ស្រុកត្បែងមានជ័យ
preahvihear	ក្រុងព្រះវិហារ
ratanakiri	ស្រុកអណ្ដូងមាស
ratanakiri	ក្រុងបានលុង
ratanakiri	ស្រុកបរកែវ
ratanakiri	ស្រុកកូនមុំ
ratanakiri	ស្រុកលំផាត់
ratanakiri	ស្រុកអូរជុំ
ratanakiri	ស្រុកអូរយ៉ាដាវ
ratanakiri	ស្រុកតាវែង
ratanakiri	ស្រុកវើនសៃ
banteaymeanchey	ស្រុកមង្គលបូរី
banteaymeanchey	ស្រុកភ្នំស្រុក
banteaymeanchey	ស្រុកព្រះនេត្រព្រះ
banteaymeanchey	ស្រុកអូរជ្រៅ
banteaymeanchey	ក្រុងសិរីសោភ័ណ
banteaymeanchey	ស្រុកថ្មពួក
banteaymeanchey	ស្រុកស្វាយចេក
banteaymeanchey	ស្រុកម៉ាឡៃ
banteaymeanchey	ក្រុងប៉ោយប៉ែត
pailin	ក្រុងប៉ៃលិន
pailin	ស្រុកសាលាក្រៅ
siemreap	ស្រុកអង្គរជុំ
siemreap	ស្រុកអង្គរធំ
siemreap	ស្រុកបន្ទាយស្រី
siemreap	ស្រុកជីក្រែង
siemreap	ស្រុកក្រឡាញ់
siemreap	ស្រុកពួក
siemreap	ស្រុកប្រាសាទបាគង
siemreap	ស្រុកសៀមរាប
siemreap	ស្រុកសូទ្រនិគម
siemreap	ស្រុកស្រីស្នំ
siemreap	ស្រុកស្វាយលើ
siemreap	ស្រុកវ៉ារិន
kohkong	ស្រុកបុទុមសាគរ
kohkong	ស្រុកគិរីសាគរ
kohkong	ស្រុកកោះកុង
kohkong	ក្រុងខេមរភូមិន្ទ
kohkong	ស្រុកមណ្ឌលសីមា
kohkong	ស្រុកស្រែ អំបិល
kohkong	ស្រុកថ្មបាំង
kandal	ស្រុកកណ្ដាលស្ទឹង
kandal	ស្រុកកៀនស្វាយ
kandal	ស្រុកខ្សាច់កណ្ដាល
kandal	ស្រុកកោះធំ
kandal	ស្រុកលើកដែក
kandal	ស្រុកល្វាឯម
kandal	ស្រុកមុខកំពូល
kandal	ស្រុកអង្គស្នួល
kandal	ស្រុកពញាឮ
kandal	ស្រុកស្អាង
kandal	ក្រុងតាខ្មៅ
takeo	ស្រុកអង្គរបូរី
takeo	ស្រុកបាទី
takeo	ស្រុកបូរីជលសារ
takeo	ស្រុកគីរីវង់
takeo	ស្រុកកោះអណ្ដែត
takeo	ស្រុកព្រៃកប្បាស
takeo	ស្រុកសំរោង
takeo	ក្រុងដូនកែវ
takeo	ស្រុកត្រាំកក់
takeo	ស្រុកទ្រាំង
kampot	ស្រុកអង្គរជ័យ
kampot	ស្រុកបន្ទាយមាស
kampot	ស្រុកឈូក
kampot	ស្រុកជុំគិរី
kampot	ស្រុកដងទង់
kampot	ស្រុកកំពង់ត្រាច
kampot	ស្រុកទឹកឈូ
kampot	ក្រុងកំពត
kampot	ស្រុកបូកគោ
preahsihanouk	ក្រុងព្រះសីហនុ
